"algal_group12","algal_group07","phylum12","phylum07","class12","order12","order07","family12","family07","genus","sp12","sp07","flag","phylum","subphylum","class","subclass","order","family","genus_new","authority","note","link"
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Nostocales","Oscillatoriales","Oscillatoriaceae","Phormidiaceae","Arthrospira","Arthrospira","Arthrospira","","Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Oscillatoriales","Microcoleaceae","","Sitzenberger ex Gomont, 1892","","http://algaebase.org/search/genus/detail/?genus_id=c81faff710221cf5a&-session=abv4:CC2E5C920c81127EDFth25D6836A"
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Nostocales","Nostocales","Rivulariaceae","Rivulariaceae","Calothrix","Calothrix; Calothrix aeruginea","Calothrix","","Cyanobacteria","","Cyanophyceae","Nostocophycidae","Nostocales","Rivulariaceae","","C.Agardh ex Bornet & Flahault, 1886","","http://algaebase.org/search/genus/detail/?genus_id=H72f7bde74b4a1ec1&-session=abv4:CC2E5C920c81127EDFth25D6836A"
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Nostocales","Nostocales","Rivulariaceae","Rivulariaceae","Gloeotrichia","Gloeotrichia; Gloeotrichia echinulata; Gloeotrichia natans","Gloeotrichia","","Cyanobacteria","","Cyanophyceae","Nostocophycidae","Nostocales","Gloeotrichiaceae","","J.Agardh ex Bornet & Flahault, 1886","",""
"Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Nostocales",NA,"Rivulariaceae",NA,"Rivularia","Rivularia",NA,"","Cyanobacteria","","Cyanophyceae","Nostocophycidae","Nostocales","Rivulariaceae","","C.Agardh ex Bornet & Flahault, 1886","",""
"Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Oscillatoriales",NA,"Borziaceae",NA,"Komvophoron","Komvophoron; Komvophoron breve; Komvophoron constrictum; Komvophoron skujae",NA,"","Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Oscillatoriales","Gomontiellaceae","","K.Anagnostidis & J.Komárek, 1988","",""
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Oscillatoriales","Oscillatoriales","Oscillatoriaceae","Oscillatoriaceae","Lyngbya","Lyngbya; Lyngbya hieronymusii; Lyngbya limnetica","Lyngbya; Lyngbya contorta; Lyngbya limnetica; Lyngbya majuscula","","Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Oscillatoriales","Oscillatoriaceae","","C.Agardh ex Gomont, 1892","",""
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Oscillatoriales","Oscillatoriales","Oscillatoriaceae","Oscillatoriaceae","Oscillatoria","Oscillatoria; Oscillatoria limosa; Oscillatoria ornata; Oscillatoria princeps; Oscillatoria simplicissima; Oscillatoria subbrevis; Oscillatoria tenuis","Oscillatoria; Oscillatoria contorta; Oscillatoria limosa; Oscillatoria sancta; Oscillatoria tenuis; Oscillatoria utermoelaii","","Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Oscillatoriales","Oscillatoriaceae","","Vaucher ex Gomont, 1892","",""
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Oscillatoriales","Oscillatoriales","Phormidiaceae","Phormidiaceae","Phormidium","Phormidium","Phormidium; Phormidium granulatum; Phormidium minnesothense; Phormidium tenue","","Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Oscillatoriales","Oscillatoriaceae","","Kützing ex Gomont, 1892","",""
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Oscillatoriales","Oscillatoriales","Phormidiaceae","Phormidiaceae","Planktothrix","Planktothrix; Planktothrix agardhii; Planktothrix compressa; Planktothrix isothrix; Planktothrix suspensa","Planktothrix; Planktothrix agardhii","","Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Oscillatoriales","Microcoleaceae","","K.Anagnostidis & J.Komárek, 1988","",""
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Oscillatoriales","Oscillatoriales","Phormidiaceae","Phormidiaceae","Trichodesmium","Trichodesmium lacustre","Trichodesmium","","Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Oscillatoriales","Microcoleaceae","","Ehrenberg ex Gomont, 1892","",""
