"SAMPLE_TYPE","DATA_COLUMN","LABEL","LEGAL_VALUES","RANGE_HIGH","RANGE_LOW","UNITS"
"CHEM","POTASSIUM_LAB_SAMPLE_ID","Laboratory Sample ID for Potassium",NA,NA,NA,NA
"CHEM","POTASSIUM_LAB_FLAG","Flag from laboratory for Potassium",NA,NA,NA,NA
"CHEM","TOC_HOLDING_TIME","Sample holding time for Total Organic Carbon",NA,NA,NA,NA
"CHEM","TOC_RESULT","Analyte value for Total Organic Carbon",NA,NA,NA,NA
"CHEM","TOC_BATCH_ID","Batch ID from lab for Total Organic Carbon",NA,NA,NA,NA
"CHEM","TOC_UNITS","Units for Total Organic Carbon",NA,NA,NA,NA
"NUTS","NTL_QA_FLAG","QA flag associated with sample for Total Nitrogen",NA,NA,NA,NA
"NUTS","NTL_MDL","Minimum detection limit of analyte for Total Nitrogen",NA,NA,NA,NA
"NUTS","NTL_LAB_SAMPLE_ID","Laboratory Sample ID for Total Nitrogen",NA,NA,NA,NA
"NUTS","NTL_DATE_ANALYZED","Date of sample analysis for Total Nitrogen",NA,NA,NA,NA
"NUTS","NTL_HOLDING_TIME","Sample holding time for Total Nitrogen",NA,NA,NA,NA
"NUTS","NTL_LAB_FLAG","Flag from laboratory for Total Nitrogen",NA,NA,NA,NA
"NUTS","NTL_UNITS","Units for Total Nitrogen",NA,NA,NA,NA
"NUTS","NTL_BATCH_ID","Batch ID from lab for Total Nitrogen",NA,NA,NA,NA
"NUTS","NTL_FLAG","Flag for Total Nitrogen",NA,NA,NA,NA
"NUTS","NTL_RESULT","Analyte value for Total Nitrogen",NA,NA,NA,NA
"NUTS","NTL_RL","Reporting limit for Total Nitrogen",NA,NA,NA,NA
"NUTS","PTL_QA_FLAG","QA flag associated with sample for Total Phosphorus",NA,NA,NA,NA
"NUTS","PTL_MDL","Minimum detection limit of analyte for Total Phosphorus",NA,NA,NA,NA
"NUTS","PTL_LAB_SAMPLE_ID","Laboratory Sample ID for Total Phosphorus",NA,NA,NA,NA
"NUTS","PTL_DATE_ANALYZED","Date of sample analysis for Total Phosphorus",NA,NA,NA,NA
"NUTS","PTL_HOLDING_TIME","Sample holding time for Total Phosphorus",NA,NA,NA,NA
"NUTS","PTL_LAB_FLAG","Flag from laboratory for Total Phosphorus",NA,NA,NA,NA
"NUTS","PTL_UNITS","Units for Total Phosphorus",NA,NA,NA,NA
"NUTS","PTL_BATCH_ID","Batch ID from lab for Total Phosphorus",NA,NA,NA,NA
"NUTS","PTL_FLAG","Flag for Total Phosphorus",NA,NA,NA,NA
"NUTS","PTL_RESULT","Analyte value for Total Phosphorus",NA,NA,NA,NA
"NUTS","PTL_RL","Reporting limit for Total Phosphorus",NA,NA,NA,NA
"","CHEM_SAMPLE_ID","Chemistry Sample ID",NA,NA,NA,NA
"","CHEM_SHIP_FLAG","Chemistry Shipping Flag",NA,NA,NA,NA
"","LAB","Lab name",NA,NA,NA,NA
"","NUTS_SAMPLE_ID","Nutrients Sample ID",NA,NA,NA,NA
"","NUTS_SHIP_FLAG","Nutrients Shipping Flag",NA,NA,NA,NA
"","SAM_CODE","",NA,NA,NA,NA
"","UID","Unique site visit ID",NA,NA,NA,NA
