usgs_id,site_ID,sample_id,visit_id,visit_no,sample_category,cylindrospermopsin,microcystin,saxitoxin
MM-11312A,NLA06608-0007,515803,7480,2,P,0,0,0
MM-09368A,NLA06608-0099,514893,7586,1,P,0,4.5,0
MM-11317A,NLA06608-0099,515793,7587,2,P,0,2.6,0
MM-09536A,NLA06608-0115,505173,7599,1,P,0,0,0
MM-11311A,NLA06608-0142,514843,7619,1,P,0,0,0
MM-12488A,NLA06608-0158,511693,7628,1,P,0,0.11,0
MM-10590A,NLA06608-0183,505163,7647,1,P,0,0,0
MM-09372A,NLA06608-0291,505143,7722,1,P,0,0,0
MM-10599A,NLA06608-0350,514883,7756,1,P,0,0.13,0
MM-10593A,NLA06608-0414,505313,7790,1,P,0,0,0
MM-10595A,NLA06608-0435,506583,7797,1,P,0,0.69,0
MM-09370A,NLA06608-0467,505153,7815,1,P,0,0.12,0
MM-11315A,NLA06608-0542,513563,7859,1,P,0,0,0
MM-10601A,NLA06608-0547,506573,7861,1,P,0,0.75,0
MM-10077A,NLA06608-0590,508393,7884,1,P,0,0,0
MM-10598A,NLA06608-0606,514863,7892,1,P,0,0.1,0
MM-09367A,NLA06608-0611,514673,7896,1,P,0,1.2,0
MM-09535A,NLA06608-0627,506593,7907,1,P,0,0.5,0
MM-11310A,NLA06608-0654,513673,7920,1,P,0,0,0
MM-10592A,NLA06608-0823,508793,8007,1,P,0,0,0
MM-11314A,NLA06608-0846,514873,8020,1,P,0,1.3,0
MM-09369A,NLA06608-0859,514683,8027,1,P,0,1.3,0
MM-10597A,NLA06608-0862,514303,8030,1,P,0,0,0
MM-10596A,NLA06608-0926,514663,8066,1,P,0,0,0
MM-10600A,NLA06608-1059,505733,8135,1,P,0,0.83,0
MM-11313A,NLA06608-1075,502763,8140,1,P,0,0.1,0
MM-10594A,NLA06608-1143,508693,8169,1,P,0,0,0
MM-11316A,NLA06608-1166,505363,8181,1,P,0,0,0
MM-10591A,NLA06608-1207,505373,8200,1,P,0,0,0
MM-09371A,NLA06608-1242,504423,8220,1,P,0,0.17,0
MM-10963A,NLA06608-ELS:2C2-048,503543,8809,1,P,0,0,0
MM-10964A,NLA06608-ELS:2C3-018,512283,8810,1,P,0,0,0
MM-09413A,NLA06608-WI:LOWES,503553,8917,1,P,0,0.18,0
MM-09414A,NLA06608-WI:SY,503573,8918,1,P,0,0,0
MM-09129A,NLA06608-0041,502583,7520,1,P,0,0,0
MM-09557A,NLA06608-0041,502493,7521,2,P,0,0,0
MM-09556A,NLA06608-0041,505903,7521,2,D,0,0,0
MM-09128A,NLA06608-0189,502743,7650,1,P,0,1.7,0
MM-09555A,NLA06608-0189,505643,7651,2,P,0,0,0
MM-09554A,NLA06608-0189,506013,7651,2,D,0,0,0
MM-09127A,NLA06608-0537,502643,7856,1,P,0,0,0
MM-09133A,NLA06608-0681,502753,7935,1,P,0,0,0
MM-09130A,NLA06608-0793,505893,7990,1,P,0,0,0
MM-09132A,NLA06608-0957,502543,8081,1,P,0,0,0
MM-09558A,NLA06608-1346,504693,8265,1,P,0,0,0
MM-09131A,NLA06608-1561,506003,8361,1,P,0,0,0
MM-12226A,NLA06608-R334,513733,8876,1,P,0,0,0
MM-12229A,NLA06608-R336,512273,8877,1,P,0,0,0
MM-09160A,NLA06608-0042,502133,7522,1,P,0,0,0
MM-09237A,NLA06608-0042,511663,7523,2,P,0,0,0
MM-09159A,NLA06608-0042,505923,7522,1,D,0,0,0
MM-09164A,NLA06608-0090,504963,7582,1,P,0,0,0
MM-09834A,NLA06608-0090,504103,7583,2,P,0,0,0
MM-09833A,NLA06608-0090,509303,7583,2,D,0,0,0
MM-08935A,NLA06608-0794,502183,7991,1,P,0,0,0
MM-09884A,NLA06608-0794,508573,7992,2,P,0,0,0
MM-09883A,NLA06608-0794,508603,7992,2,D,0,0,0
MM-09935A,NLA06608-0842,513213,8018,1,P,0,0,0
MM-08941A,NLA06608-0906,502773,8056,1,P,0,0,0
MM-08934A,NLA06608-0922,515203,8063,1,P,0,0,0
MM-11170A,NLA06608-0950,508403,8079,1,P,0,0,0
MM-08933A,NLA06608-0955,502793,8080,1,P,0,0,0
MM-08936A,NLA06608-0970,502173,8087,1,P,0,0,0
MM-09161A,NLA06608-1259,505943,8227,1,P,0,0,0
MM-11169A,NLA06608-1270,510373,8234,1,P,0,0,0
MM-08940A,NLA06608-1562,502783,8362,1,P,0,0,0
MM-09918A,NLA06608-1674,504123,8398,1,P,0,0,0
MM-09158A,NLA06608-1723,505813,8416,1,P,0,0,0
MM-09341A,NLA06608-1818,510523,8449,1,P,0,0,0
MM-09537A,NLA06608-1866,509283,8464,1,P,0,0,0
MM-09163A,NLA06608-2027,505953,8500,1,P,0,0,0
MM-09238A,NLA06608-2095,513163,8519,1,P,0,0,0
MM-09916A,NLA06608-2250,513713,8546,1,P,0,0,0
MM-09162A,NLA06608-2266,502153,8549,1,P,0,0,0
MM-09915A,NLA06608-2379,513743,8564,1,P,0,0,0.15
MM-09919A,NLA06608-2634,512713,8597,1,P,0,0,0
MM-10581A,NLA06608-2714,509923,8608,1,P,0,0,0
